0078125 00¨ù
015625  00¨ö
0234375 00¨ú
03125     01
0390625 01¨ù
046875  01¨ö
0546875 01¨ú
0625      02
0703125 02¨ù
078125  02¨ö
0859375 02¨ú
09375     03
1015625 03¨ù
109375  03¨ö
1171875 03¨ú
125       04
1328125 04¨ù
140625  04¨ö
1484375 04¨ú
15625     05
1640625 05¨ù
171875  05¨ö
1796875 05¨ú
1875      06
1953125 06¨ù
203125  06¨ö
2109375 06¨ú
21875     07
2265625 07¨ù
234375  07¨ö
2421875 07¨ú
25        08
2578125 08¨ù
265625  08¨ö
2734375 08¨ú
28125     09
2890625 09¨ù
296875  09¨ö
3046875 09¨ú
3125      10
3203125 10¨ù
328125  10¨ö
3359375 10¨ú
34375     11
3515625 11¨ù
359375  11¨ö
3671875 11¨ú
375       12
3828125 12¨ù
390625  12¨ö
3984375 12¨ú
40625     13
4140625 13¨ù
421875  13¨ö
4296875 13¨ú
4375      14
4453125 14¨ù
453125  14¨ö
4609375 14¨ú
46875     15
4765625 15¨ù
484375  15¨ö
4921875 15¨ú
5         16
5078125 16¨ù
515625  16¨ö
5234375 16¨ú
53125     17
5390625 17¨ù
546875  17¨ö
5546875 17¨ú
5625      18
5703125 18¨ù
578125  18¨ö
5859375 18¨ú
59375     19
6015625 19¨ù
609375  19¨ö
6171875 19¨ú
625       20
6328125 20¨ù
640625  20¨ö
6484375 20¨ú
65625     21
6640625 21¨ù
671875  21¨ö
6796875 21¨ú
6875      22
6953125 22¨ù
703125  22¨ö
7109375 22¨ú
71875     23
7265625 23¨ù
734375  23¨ö
7421875 23¨ú
75        24
7578125 24¨ù
765625  24¨ö
7734375 24¨ú
78125     25
7890625 25¨ù
796875  25¨ö
8046875 25¨ú
8125      26
8203125 26¨ù
828125  26¨ö
8359375 26¨ú
84375     27
8515625 27¨ù
859375  27¨ö
8671875 27¨ú
875       28
8828125 28¨ù
890625  28¨ö
8984375 28¨ú
90625     29
9140625 29¨ù
921875  29¨ö
9296875 29¨ú
9375      30
9453125 30¨ù
953125  30¨ö
9609375 30¨ú
96875     31
9765625 31¨ù
984375  31¨ö
9921875 31¨ú
